"id","kk","en","ru"
"str_play","Бастау","Play","Начать игру"
"str_settings","Баптаулар","Settings","Настройки"
"str_exit","Шығу","Exit","Выход"
"str_back","Қайту","Back","Назад"
"str_music","Әуен","Music","Музыка"
"str_sound","Дыбыс","Sound","Звук"
"str_fullscreen","Толық экран","Fullscreen","Полный экран"
"str_select","Таңдау","Select","Выбрать"
"str_unvailable","Қолжетімсіз","Unvailable","Недоступно"
"str_firstlevel","Бірінші деңгей","First Level","Первый Уровень"
"str_secondlevel","Екінші деңгей","Second Level","Второй Уровень"
"str_thirdlevel","Үшінші деңгей","Third Level","Третий Уровень"
"str_fourthlevel","Төртінші деңгей","Fourth Level","Четвертый Уровень"
"str_fifthlevel","Бесінші деңгей","Fifth Level","Пятый Уровень"
